Row 1: ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path | Assigned To | State
Row 207:  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button. <NL>  |  <NL>  |  |  | 
Row 208:  |  |  | 4 | Selected "Content type to sync" Feature and Set "Calendar" settings to "On"  <NL>  |  <NL>  |  |  | 
Row 209:  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  |  |  | 
Row 210:  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  |  |  | 
Row 211:  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  |  |  | 
Row 212:  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  |  |  | 
Row 213:  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  |  |  | 
Row 214:  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  |  |  | 
Row 215:  |  |  | 6.1 | Open the "Settings" App |  <NL>  |  |  | 
Row 216:  |  |  | 6.2 | Click "Accounts" |  <NL>  |  |  | 
Row 217:  |  |  | 6.3 | Click "Access work or School" |  <NL>  |  |  | 
Row 218:  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  |  |  | 
Row 219:  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  |  |  | 
Row 220:  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  |  |  | 
Row 221:  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  |  |  | 
Row 222:  |  |  | 7 | Open the profile. <NL>  | Verify that no UX issue with the profile and the profile is what you set.  <NL>  |  |  | 
Row 223:  |  |  | 8 | Reopen the profile and changed the settings to "OFF" and "Save" the change. <NL>  | Verify that no UX issue with the profile and the profile is what you set.  <NL>  |  |  | 
Row 224: 26310478 | Test Case | [Shanghai Vendor][DC][Email][UX validation]Tasks |  |  |  | Intune\Mgmt\Device Configuration\DCv1 | Osborn Hou (Centific Technologies Inc) <v-osbornhou@microsoft.com> | Design
Row 225: 10 |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  |  |  | 
Row 226:  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  |  |  | 
Row 227:  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  |  |  | 
Row 228:  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  |  |  | 
Row 229:  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  |  |  | 
Row 230:  |  |  | 2 | Selected the "Email" in Profile and click the "Create" button. <NL>  |  <NL>  |  |  | 
Row 231:  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button. <NL>  |  <NL>  |  |  | 
Row 232:  |  |  | 4 | Selected "Content type to sync" Feature and Set "Tasks" settings to "On"  <NL>  |  <NL>  |  |  | 
Row 233:  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  |  |  | 
Row 234:  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  |  |  | 
Row 235:  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  |  |  | 
Row 236:  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  |  |  | 
Row 237:  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  |  |  | 
Row 238:  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  |  |  | 
Row 239:  |  |  | 6.1 | Open the "Settings" App |  <NL>  |  |  | 
Row 240:  |  |  | 6.2 | Click "Accounts" |  <NL>  |  |  | 
Row 241:  |  |  | 6.3 | Click "Access work or School" |  <NL>  |  |  | 
Row 242:  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  |  |  | 
Row 243:  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  |  |  | 
Row 244:  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  |  |  | 
Row 245:  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  |  |  | 
Row 246:  |  |  | 7 | Open the profile. <NL>  | Verify that no UX issue with the profile and the profile is what you set.  <NL>  |  |  | 
Row 247:  |  |  | 8 | Reopen the profile and changed the settings to "OFF" and "Save" the change <NL>  | Verify that no UX issue with the profile and the profile is what you set.  <NL>  |  |  | 
